"Name","Pin","Function","Power, Clock, Debug, System","CANFD","AGT","SCI","SPI","GPT","GPT_OPS","ICU","BUS_ASYNCH","QSPI","USB_FS","SDHI","ETHERC_RMII","CAC","SSI","CTSU","RTC","IIC","ADC","OSPI","USB_HS","CEC","SSI_COMMON","GPT_POEG","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"P115","C1","","","","","","","GTIOC4A","","","A01","","","","","","SSITXD0","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A01
GPT4: GTIOC4A
SSI0: SSITXD0","","None","","",
"P200","C8","","","","","","","","","NMI","","","","","","","","","","","","","","","","","","","","","Disabled","","","ICU0: NMI","","None","","",
"P201","B8","","MD","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","SYSTEM0: MD","","None","","",
"P202","B12","SPI0_MISOA","","CRX0","AGTOB3","SCK2/RXD9/SCL9","MISOA","GTIOC5B","","IRQ03","BC1","","","SD0DAT6","","","","TS19","","","","","","","","","","","Low","None","Peripheral mode","CMOS","None","AGT3: AGTOB3
BUS_ASYNCH0: BC1
CAN0: CRX0
CTSU0: TS19
ETHERC_MII0: ET0_ERXD2
GPT5: GTIOC5B
ICU0: IRQ03
SCI2: SCK2
SCI9: RXD9
SCI9: SCL9
SDHI0: SD0DAT6
SPI0: MISOA","","IO","","",
"P203","D11","SPI0_MOSIA","","CTX0","AGTOA3","CTSRTS2/TXD9/SDA9","MOSIA","GTIOC5A","","IRQ02","A19","","","SD0DAT5","","","","TS18","","","","","","","","","","","Low","None","Peripheral mode","CMOS","None","AGT3: AGTOA3
BUS_ASYNCH0: A19
CAN0: CTX0
CTSU0: TS18
ETHERC_MII0: ET0_COL
GPT5: GTIOC5A
ICU0: IRQ02
SCI2: CTSRTS2
SCI9: SDA9
SCI9: TXD9
SDHI0: SD0DAT5
SPI0: MOSIA","","IO","","",
"P204","A13","SPI0_RSPCKA","","","AGTIO1","SCK4/SCK9","RSPCKA","GTIOC4B","GTIW","","A18","","USB_OVRCURB","SD0DAT4","","CACREF","SSIBCK0","TS00","","","","","","","","","","","Low","","Peripheral mode","CMOS","None","AGT1: AGTIO1
BUS_ASYNCH0: A18
CAC0: CACREF
CTSU0: TS00
ETHERC_MII0: ET0_RX_DV
GPT_OPS0: GTIW
GPT4: GTIOC4B
SCI4: SCK4
SCI9: SCK9
SDHI0: SD0DAT4
SPI0: RSPCKA
SSI0: SSIBCK0
USB_FS0: USB_OVRCURB","","IO","","",
"P205","E12","","CLKOUT","","AGTO1","TXD4/SDA4/CTSRTS9","SSLA0","GTIOC4A","GTIV","IRQ01","A16","","USB_OVRCURA","SD0DAT3","ET0_WOL","","SSILRCK0","TS01","","SCL1","","","","","","","","","","","Disabled","","","AGT1: AGTO1
BUS_ASYNCH0: A16
CGC0: CLKOUT
CTSU0: TS01
ETHERC_MII0: ET0_WOL
ETHERC_RMII0: ET0_WOL
GPT_OPS0: GTIV
GPT4: GTIOC4A
ICU0: IRQ01
IIC1: SCL1
SCI4: SDA4
SCI4: TXD4
SCI9: CTSRTS9
SDHI0: SD0DAT3
SPI0: SSLA0
SSI0: SSILRCK0
USB_FS0: USB_OVRCURA","","None","","",
"P206","D12","SCI4_SCL4","","","","RXD4/SCL4/CTS9","SSLA1","","GTIU","IRQ00","WAIT","","USB_VBUSEN","SD0DAT2","ET0_LINKSTA","","SSIDATA0","TS02","","SDA1","","","","CECIO","","","","","Low","None","Peripheral mode","n-ch open drain","None","BUS_ASYNCH0: WAIT
CEC0: CECIO
CTSU0: TS02
ETHERC_MII0: ET0_LINKSTA
ETHERC_RMII0: ET0_LINKSTA
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA1
SCI4: RXD4
SCI4: SCL4
SCI9: CTS9
SDHI0: SD0DAT2
SPI0: SSLA1
SSI0: SSIDATA0
USB_FS0: USB_VBUSEN","","IO","","",
"P207","C12","SCI4_SDA4","","","","TXD4/SDA4","SSLA2","","","","A17","QSSL","","","","","","TSCAP","","","","","","","","","","","Low","","Peripheral mode","n-ch open drain","None","BUS_ASYNCH0: A17
CTSU0: TSCAP
QSPI0: QSSL
SCI4: SDA4
SCI4: TXD4
SPI0: SSLA2","","IO","","",
"P208","A8","","TDATA3","","","","","","GTOVLO","","CS4","QIO3","","SD0DAT0","ET0_LINKSTA","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: CS4
DEBUG_TRACE0: TDATA3
ETHERC_MII0: ET0_LINKSTA
ETHERC_RMII0: ET0_LINKSTA
GPT_OPS0: GTOVLO
QSPI0: QIO3
SDHI0: SD0DAT0","","None","","",
"P209","B9","","TDATA2","","AGTEE5","","","","GTOVUP","","CS5","QIO2","","SD0WP","ET0_EXOUT","","","","","","","","","","","","","","","","Disabled","","","AGT5: AGTEE5
BUS_ASYNCH0: CS5
DEBUG_TRACE0: TDATA2
ETHERC_MII0: ET0_EXOUT
ETHERC_RMII0: ET0_EXOUT
GPT_OPS0: GTOVUP
QSPI0: QIO2
SDHI0: SD0WP","","None","","",
"P210","A9","","TDATA1","","AGTOB5","","","","GTIW","","CS6","QIO1","","SD0CD","ET0_WOL","","","","","","","","","","","","","","","","Disabled","","","AGT5: AGTOB5
BUS_ASYNCH0: CS6
DEBUG_TRACE0: TDATA1
ETHERC_MII0: ET0_WOL
ETHERC_RMII0: ET0_WOL
GPT_OPS0: GTIW
QSPI0: QIO1
SDHI0: SD0CD","","None","","",
"P211","B10","","TDATA0","","AGTOA5","","","","GTIV","","CS7","QIO0","","SD0CMD","ET0_MDIO","","","","","","","","","","","","","","","","Disabled","","","AGT5: AGTOA5
BUS_ASYNCH0: CS7
DEBUG_TRACE0: TDATA0
ETHERC_MII0: ET0_MDIO
ETHERC_RMII0: ET0_MDIO
GPT_OPS0: GTIV
QSPI0: QIO0
SDHI0: SD0CMD","","None","","",
"P212","H15","","EXTAL","","AGTEE1","RXD1/SCL1","","GTIOC0B","","IRQ03","","","","","","","","","","","","","","","","GTETRGD","","","","","Disabled","","","AGT1: AGTEE1
CGC0: EXTAL
GPT_POEG3: GTETRGD
GPT0: GTIOC0B
ICU0: IRQ03
SCI1: RXD1
SCI1: SCL1","","None","","",
"P213","H14","","XTAL","","AGTEE2","TXD1/SDA1","","GTIOC0A","","IRQ02","","","","","","","","","","","ADTRG1","","","","","GTETRGC","","","","","Disabled","","","ADC1: ADTRG1
AGT2: AGTEE2
CGC0: XTAL
GPT_POEG2: GTETRGC
GPT0: GTIOC0A
ICU0: IRQ02
SCI1: SDA1
SCI1: TXD1","","None","","",
"P214","A10","","TCLK","","AGTO5","","","","GTIU","","","QSPCLK","","SD0CLK","ET0_MDC","","","","","","","","","","","","","","","","Disabled","","","AGT5: AGTO5
DEBUG_TRACE0: TCLK
ETHERC_MII0: ET0_MDC
ETHERC_RMII0: ET0_MDC
GPT_OPS0: GTIU
QSPI0: QSPCLK
SDHI0: SD0CLK","","None","","",
"P300","C4","DEBUG0_SWCLK","SWCLK/TCK","","","","SSLA1","GTIOC0A","GTOUUP","","","","","","","","","","","","","","","","","","","","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT_OPS0: GTOUUP
GPT0: GTIOC0A
SPI0: SSLA1","","IO","","",
"P301","A2","","","","AGTIO0","RXD2/SCL2/CTSRTS9","SSLA2","GTIOC4B","GTOULO","IRQ06","A06","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT0: AGTIO0
BUS_ASYNCH0: A06
GPT_OPS0: GTOULO
GPT4: GTIOC4B
ICU0: IRQ06
SCI2: RXD2
SCI2: SCL2
SCI9: CTSRTS9
SPI0: SSLA2","","None","","",
"P302","B3","","","","","TXD2/SDA2","SSLA3","GTIOC4A","GTOUUP","IRQ05","A07","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A07
GPT_OPS0: GTOUUP
GPT4: GTIOC4A
ICU0: IRQ05
SCI2: SDA2
SCI2: TXD2
SPI0: SSLA3","","None","","",
"P303","A3","","","","","CTS9","","GTIOC7B","","","A08","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A08
GPT7: GTIOC7B
SCI9: CTS9","","None","","",
"P304","B4","","","","AGTEE2","RXD6/SCL6","","GTIOC7A","GTOWLO","IRQ09","A09","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT2: AGTEE2
BUS_ASYNCH0: A09
GPT_OPS0: GTOWLO
GPT7: GTIOC7A
ICU0: IRQ09
SCI6: RXD6
SCI6: SCL6","","None","","",
"P305","B5","","","","AGTOB2","TXD6/SDA6","","","GTOWUP","IRQ08","A10","QSPCLK","","","","","","","","","","","","","","","","","","","Disabled","","","AGT2: AGTOB2
BUS_ASYNCH0: A10
GPT_OPS0: GTOWUP
ICU0: IRQ08
QSPI0: QSPCLK
SCI6: SDA6
SCI6: TXD6","","None","","",
"P306","A4","","","","AGTOA2","SCK6","","","GTOULO","","A11","QSSL","","","","","","","","","","","","","","","","","","","Disabled","","","AGT2: AGTOA2
BUS_ASYNCH0: A11
GPT_OPS0: GTOULO
QSPI0: QSSL
SCI6: SCK6","","None","","",
"P307","C6","","","","AGTEE4","CTSRTS6","","","GTOUUP","","A12","QIO0","","","","","","","","","","","","","","","","","","","Disabled","","","AGT4: AGTEE4
BUS_ASYNCH0: A12
GPT_OPS0: GTOUUP
QSPI0: QIO0
SCI6: CTSRTS6","","None","","",
"P308","A5","","","","AGTOB4","CTS3/CTS6","","","","","A13","QIO1","","","","","","","","","","","","","","","","","","","Disabled","","","AGT4: AGTOB4
BUS_ASYNCH0: A13
QSPI0: QIO1
SCI3: CTS3
SCI6: CTS6","","None","","",
"P309","B6","","","","AGTOA4","RXD3/SCL3","","","","","A14","QIO2","","","","","","","","","","","","","","","","","","","Disabled","","","AGT4: AGTOA4
BUS_ASYNCH0: A14
QSPI0: QIO2
SCI3: RXD3
SCI3: SCL3","","None","","",
"P310","A6","","","","AGTEE1","TXD3/SDA3","","","","","A15","QIO3","","","","","","","","","","","","","","","","","","","Disabled","","","AGT1: AGTEE1
BUS_ASYNCH0: A15
QSPI0: QIO3
SCI3: SDA3
SCI3: TXD3","","None","","",
"P311","D6","","","","AGTOB1","SCK3","","","","","CS2","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT1: AGTOB1
BUS_ASYNCH0: CS2
SCI3: SCK3","","None","","",
"P312","C7","","","","AGTOA1","CTSRTS3","","","","","CS3","","","","","","","","","","","","","","","","","","","","Disabled","","","AGT1: AGTOA1
BUS_ASYNCH0: CS3
SCI3: CTSRTS3","","None","","",
"P313","A12","","","","","","","","","","A20","","","SD0DAT7","","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A20
ETHERC_MII0: ET0_ERXD3
SDHI0: SD0DAT7","","None","","",
"P314","C11","","","","","","","","","","A21","","","","","","","","","","ADTRG0","","","","","","","","","","Disabled","","","ADC0: ADTRG0
BUS_ASYNCH0: A21","","None","","",
"P315","B11","","","","","RXD4/SCL4","","","","","A22","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS_ASYNCH0: A22
SCI4: RXD4
SCI4: SCL4","","None","","",
"P400","N13","GPIO","","","AGTIO1","SCK4/SCK7","","GTIOC6A","","IRQ00","","","","","ET0_WOL","","","","","SCL0","ADTRG1","","","","AUDIO_CLK","","","","Low","None","Output mode (Initial Low)","CMOS","","ADC1: ADTRG1
AGT1: AGTIO1
ETHERC_MII0: ET0_WOL
ETHERC_RMII0: ET0_WOL
GPT6: GTIOC6A
ICU0: IRQ00
IIC0: SCL0
SCI4: SCK4
SCI7: SCK7
SSI_COMMON0: AUDIO_CLK","","IO","","",
"P401","R15","","","CTX0","","CTSRTS4/TXD7/SDA7","","GTIOC6B","","IRQ05","","","","","ET0_MDC","","","","","SDA0","","","","","","GTETRGA","","","","","Disabled","","","CAN0: CTX0
ETHERC_MII0: ET0_MDC
ETHERC_RMII0: ET0_MDC
GPT_POEG0: GTETRGA
GPT6: GTIOC6B
ICU0: IRQ05
IIC0: SDA0
SCI4: CTSRTS4
SCI7: SDA7
SCI7: TXD7","","None","","",
"P402","P14","","","CRX0","AGTIO0/AGTIO1/AGTIO2/AGTIO3","CTS4/RXD7/SCL7","","","","IRQ04","","","","","ET0_MDIO","CACREF","","","RTCIC0","","","","","","AUDIO_CLK","","","","","","Disabled","","","AGT0: AGTIO0
AGT1: AGTIO1
AGT2: AGTIO2
AGT3: AGTIO3
CAC0: CACREF
CAN0: CRX0
ETHERC_MII0: ET0_MDIO
ETHERC_RMII0: ET0_MDIO
ICU0: IRQ04
RTC0: RTCIC0
SCI4: CTS4
SCI7: RXD7
SCI7: SCL7
SSI_COMMON0: AUDIO_CLK","","None","","",
"P403","M12","","","","AGTIO0/AGTIO1/AGTIO2/AGTIO3","CTSRTS7","","GTIOC3A","","IRQ14","","","","","ET0_LINKSTA","","SSIBCK0","","RTCIC1","","","","","","","","","","","","Disabled","","","AGT0: AGTIO0
AGT1: AGTIO1
AGT2: AGTIO2
AGT3: AGTIO3
ETHERC_MII0: ET0_LINKSTA
ETHERC_RMII0: ET0_LINKSTA
GPT3: GTIOC3A
ICU0: IRQ14
RTC0: RTCIC1
SCI7: CTSRTS7
SSI0: SSIBCK0","","None","","",
"P404","M13","","","","AGTIO0/AGTIO1/AGTIO2/AGTIO3","CTS7","","GTIOC3B","","IRQ15","","","","","ET0_EXOUT","","SSILRCK0","","RTCIC2","","","","","","","","","","","","Disabled","","","AGT0: AGTIO0
AGT1: AGTIO1
AGT2: AGTIO2
AGT3: AGTIO3
ETHERC_MII0: ET0_EXOUT
ETHERC_RMII0: ET0_EXOUT
GPT3: GTIOC3B
ICU0: IRQ15
RTC0: RTCIC2
SCI7: CTS7
SSI0: SSILRCK0","","None","","",
"P405","P15","","","","","","","GTIOC1A","","","","","","","RMII_TXD_EN","","SSITXD0","","","","","","","","","","","","","","Disabled","","","ETHERC_MII0: ET0_TX_EN
ETHERC_RMII0: RMII_TXD_EN
GPT1: GTIOC1A
SSI0: SSITXD0","","None","","",
"P406","N14","","","","AGTO5","","SSLA3","GTIOC1B","","","","","","","RMII_TXD1","","SSIRXD0","","","","","","","","","","","","","","Disabled","","","AGT5: AGTO5
ETHERC_MII0: ET0_RX_ER
ETHERC_RMII0: RMII_TXD1
GPT1: GTIOC1B
SPI0: SSLA3
SSI0: SSIRXD0","","None","","",
"P407","A15","","","","AGTIO0","CTSRTS4","SSLA3","GTIOC6A","","","","","USB_VBUS","","ET0_EXOUT","","","TS03","RTCOUT","SDA0","ADTRG0","","","","","","","","","","Disabled","","","ADC0: ADTRG0
AGT0: AGTIO0
CTSU0: TS03
ETHERC_MII0: ET0_EXOUT
ETHERC_RMII0: ET0_EXOUT
GPT6: GTIOC6A
IIC0: SDA0
RTC0: RTCOUT
SCI4: CTSRTS4
SPI0: SSLA3
USB_FS0: USB_VBUS","","None","","",
"P408","D13","","","","AGTOB2","RXD3/SCL3/CTS4","","GTIOC6B","GTOWLO","IRQ07","","","USB_ID","","RMII_CRS_DV","","","TS04","","SCL0","","","USBHS_ID","","","","","","","","Disabled","","","AGT2: AGTOB2
CTSU0: TS04
ETHERC_MII0: ET0_CRS
ETHERC_RMII0: RMII_CRS_DV
GPT_OPS0: GTOWLO
GPT6: GTIOC6B
ICU0: IRQ07
IIC0: SCL0
SCI3: RXD3
SCI3: SCL3
SCI4: CTS4
USB_FS0: USB_ID
USB_HS0: USBHS_ID","","None","","",
"P409","B15","","","","AGTOA2","TXD3/SDA3","","","GTOWUP","IRQ06","","","USB_EXICEN","","RMII_RX_ER","","","TS05","","SDA2","","","USBHS_EXICEN","","","","","","","","Disabled","","","AGT2: AGTOA2
CTSU0: TS05
ETHERC_MII0: ET0_RX_CLK
ETHERC_RMII0: RMII_RX_ER
GPT_OPS0: GTOWUP
ICU0: IRQ06
IIC2: SDA2
SCI3: SDA3
SCI3: TXD3
USB_FS0: USB_EXICEN
USB_HS0: USBHS_EXICEN","","None","","",
"P410","C14","SCI3_SCK3","","","AGTOB1","RXD0/SCL0/SCK3","MISOB","GTIOC9B","GTOVLO","IRQ05","","","","SD0DAT1","RMII_RXD1","","","TS06","","SCL2","","","","","","","","","Low","None","Peripheral mode","CMOS","None","AGT1: AGTOB1
CTSU0: TS06
ETHERC_MII0: ET0_ERXD0
ETHERC_RMII0: RMII_RXD1
GPT_OPS0: GTOVLO
GPT9: GTIOC9B
ICU0: IRQ05
IIC2: SCL2
SCI0: RXD0
SCI0: SCL0
SCI3: SCK3
SDHI0: SD0DAT1
SPI1: MISOB","","IO","","",
"P411","C15","","","","AGTOA1","TXD0/SDA0/CTSRTS3","MOSIB","GTIOC9A","GTOVUP","IRQ04","","","","SD0DAT0","RMII_RXD0","","","TS07","","","","","","","","","","","","","Disabled","","","AGT1: AGTOA1
CTSU0: TS07
ETHERC_MII0: ET0_ERXD1
ETHERC_RMII0: RMII_RXD0
GPT_OPS0: GTOVUP
GPT9: GTIOC9A
ICU0: IRQ04
SCI0: SDA0
SCI0: TXD0
SCI3: CTSRTS3
SDHI0: SD0DAT0
SPI1: MOSIB","","None","","",
"P412","D14","","","","AGTEE1","SCK0/CTS3","RSPCKB","","GTOULO","","","","","SD0CMD","REF50CK","","","TS08","","","","","","","","","","","","","Disabled","","","AGT1: AGTEE1
CTSU0: TS08
ETHERC_MII0: ET0_ETXD0
ETHERC_RMII0: REF50CK
GPT_OPS0: GTOULO
SCI0: SCK0
SCI3: CTS3
SDHI0: SD0CMD
SPI1: RSPCKB","","None","","",
"P413","E13","","","","AGTEE3","CTSRTS0","SSLB0","","GTOUUP","","","","","SD0CLK","RMII_TXD0","","","TS09","","","","","","","","","","","","","Disabled","","","AGT3: AGTEE3
CTSU0: TS09
ETHERC_MII0: ET0_ETXD1
ETHERC_RMII0: RMII_TXD0
GPT_OPS0: GTOUUP
SCI0: CTSRTS0
SDHI0: SD0CLK
SPI1: SSLB0","","None","","",
"P414","D15","","","","AGTIO5","CTS0","SSLB1","GTIOC0B","","IRQ09","","","","SD0WP","RMII_TXD1","","","TS10","","SDA2","","","","","","","","","","","Disabled","","","AGT5: AGTIO5
CTSU0: TS10
ETHERC_MII0: ET0_RX_ER
ETHERC_RMII0: RMII_TXD1
GPT0: GTIOC0B
ICU0: IRQ09
IIC2: SDA2
SCI0: CTS0
SDHI0: SD0WP
SPI1: SSLB1","","None","","",
"P415","E14","","","","AGTIO4","","SSLB2","GTIOC0A","","IRQ08","","","USB_VBUSEN","SD0CD","RMII_TXD_EN","","","TS11","","SCL2","","","","","","","","","","","Disabled","","","AGT4: AGTIO4
CTSU0: TS11
ETHERC_MII0: ET0_TX_EN
ETHERC_RMII0: RMII_TXD_EN
GPT0: GTIOC0A
ICU0: IRQ08
IIC2: SCL2
SDHI0: SD0CD
SPI1: SSLB2
USB_FS0: USB_VBUSEN","","None","","",
"P500","R3","","","","AGTOA0","CTS5","","","GTIU","","","QSPCLK","USB_VBUSEN","","","CACREF","","","","","AN116","","","","","","","","","","Disabled","","","ADC1: AN116
AGT0: AGTOA0
CAC0: CACREF
GPT_OPS0: GTIU
QSPI0: QSPCLK
SCI5: CTS5
USB_FS0: USB_VBUSEN","","None","","",
"P501","P4","","","","AGTOB0","TXD5/SDA5","","","GTIV","IRQ11","","QSSL","USB_OVRCURA","","","","","","","","AN117","","","","","","","","","","Disabled","","","ADC1: AN117
AGT0: AGTOB0
GPT_OPS0: GTIV
ICU0: IRQ11
QSPI0: QSSL
SCI5: SDA5
SCI5: TXD5
USB_FS0: USB_OVRCURA","","None","","",
"P502","R4","","","","AGTOA2","RXD5/SCL5/CTS6","","","GTIW","IRQ12","","QIO0","USB_OVRCURB","","","","","","","","AN118","","","","","","","","","","Disabled","","","ADC1: AN118
AGT2: AGTOA2
GPT_OPS0: GTIW
ICU0: IRQ12
QSPI0: QIO0
SCI5: RXD5
SCI5: SCL5
SCI6: CTS6
USB_FS0: USB_OVRCURB","","None","","",
